,path,file_name,path_OD,path_OC,disc_center,tag,dataset,shape,path_OD_png,path_OC_png
10,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_032.png,drishtiGS_032.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_032/drishtiGS_032_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_032/drishtiGS_032_CupAvgBoundary.txt,"(899, 915)",Glaucoma,drishti,"(1759, 2049, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_032/drishtiGS_032_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_032/drishtiGS_032_CupAvgBoundary_OC_img.png
11,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_038.png,drishtiGS_038.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_038/drishtiGS_038_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_038/drishtiGS_038_CupAvgBoundary.txt,"(1136, 994)",Glaucoma,drishti,"(1762, 2049, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_038/drishtiGS_038_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_038/drishtiGS_038_CupAvgBoundary_OC_img.png
12,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_040.png,drishtiGS_040.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_040/drishtiGS_040_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_040/drishtiGS_040_CupAvgBoundary.txt,"(931, 789)",Glaucoma,drishti,"(1755, 2049, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_040/drishtiGS_040_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_040/drishtiGS_040_CupAvgBoundary_OC_img.png
13,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_044.png,drishtiGS_044.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_044/drishtiGS_044_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_044/drishtiGS_044_CupAvgBoundary.txt,"(1014, 935)",Glaucoma,drishti,"(1751, 2045, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_044/drishtiGS_044_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_044/drishtiGS_044_CupAvgBoundary_OC_img.png
14,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_045.png,drishtiGS_045.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_045/drishtiGS_045_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_045/drishtiGS_045_CupAvgBoundary.txt,"(792, 1029)",Glaucoma,drishti,"(1753, 2048, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_045/drishtiGS_045_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_045/drishtiGS_045_CupAvgBoundary_OC_img.png
15,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_049.png,drishtiGS_049.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_049/drishtiGS_049_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_049/drishtiGS_049_CupAvgBoundary.txt,"(1054, 887)",Glaucoma,drishti,"(1759, 2049, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_049/drishtiGS_049_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_049/drishtiGS_049_CupAvgBoundary_OC_img.png
16,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_051.png,drishtiGS_051.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_051/drishtiGS_051_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_051/drishtiGS_051_CupAvgBoundary.txt,"(1143, 806)",Glaucoma,drishti,"(1762, 2048, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_051/drishtiGS_051_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_051/drishtiGS_051_CupAvgBoundary_OC_img.png
17,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_058.png,drishtiGS_058.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_058/drishtiGS_058_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_058/drishtiGS_058_CupAvgBoundary.txt,"(1099, 989)",Glaucoma,drishti,"(1763, 2049, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_058/drishtiGS_058_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_058/drishtiGS_058_CupAvgBoundary_OC_img.png
18,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_060.png,drishtiGS_060.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_060/drishtiGS_060_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_060/drishtiGS_060_CupAvgBoundary.txt,"(868, 883)",Glaucoma,drishti,"(1760, 2049, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_060/drishtiGS_060_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_060/drishtiGS_060_CupAvgBoundary_OC_img.png
19,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_061.png,drishtiGS_061.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_061/drishtiGS_061_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_061/drishtiGS_061_CupAvgBoundary.txt,"(1218, 860)",Glaucoma,drishti,"(1758, 2463, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_061/drishtiGS_061_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_061/drishtiGS_061_CupAvgBoundary_OC_img.png
20,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_062.png,drishtiGS_062.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_062/drishtiGS_062_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_062/drishtiGS_062_CupAvgBoundary.txt,"(1021, 715)",Glaucoma,drishti,"(1755, 2047, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_062/drishtiGS_062_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_062/drishtiGS_062_CupAvgBoundary_OC_img.png
21,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_063.png,drishtiGS_063.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_063/drishtiGS_063_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_063/drishtiGS_063_CupAvgBoundary.txt,"(985, 947)",Glaucoma,drishti,"(1753, 2046, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_063/drishtiGS_063_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_063/drishtiGS_063_CupAvgBoundary_OC_img.png
22,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_064.png,drishtiGS_064.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_064/drishtiGS_064_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_064/drishtiGS_064_CupAvgBoundary.txt,"(916, 953)",Glaucoma,drishti,"(1752, 2047, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_064/drishtiGS_064_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_064/drishtiGS_064_CupAvgBoundary_OC_img.png
23,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_066.png,drishtiGS_066.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_066/drishtiGS_066_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_066/drishtiGS_066_CupAvgBoundary.txt,"(988, 881)",Glaucoma,drishti,"(1760, 2048, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_066/drishtiGS_066_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_066/drishtiGS_066_CupAvgBoundary_OC_img.png
24,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_068.png,drishtiGS_068.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_068/drishtiGS_068_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_068/drishtiGS_068_CupAvgBoundary.txt,"(968, 903)",Glaucoma,drishti,"(1753, 2046, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_068/drishtiGS_068_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_068/drishtiGS_068_CupAvgBoundary_OC_img.png
25,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_069.png,drishtiGS_069.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_069/drishtiGS_069_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_069/drishtiGS_069_CupAvgBoundary.txt,"(1077, 935)",Glaucoma,drishti,"(1754, 2046, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_069/drishtiGS_069_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_069/drishtiGS_069_CupAvgBoundary_OC_img.png
26,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_075.png,drishtiGS_075.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_075/drishtiGS_075_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_075/drishtiGS_075_CupAvgBoundary.txt,"(1441, 1037)",Glaucoma,drishti,"(1762, 2468, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_075/drishtiGS_075_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_075/drishtiGS_075_CupAvgBoundary_OC_img.png
27,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_076.png,drishtiGS_076.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_076/drishtiGS_076_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_076/drishtiGS_076_CupAvgBoundary.txt,"(891, 910)",Glaucoma,drishti,"(1757, 2047, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_076/drishtiGS_076_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_076/drishtiGS_076_CupAvgBoundary_OC_img.png
28,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_080.png,drishtiGS_080.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_080/drishtiGS_080_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_080/drishtiGS_080_CupAvgBoundary.txt,"(945, 893)",Glaucoma,drishti,"(1754, 2046, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_080/drishtiGS_080_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_080/drishtiGS_080_CupAvgBoundary_OC_img.png
29,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_081.png,drishtiGS_081.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_081/drishtiGS_081_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_081/drishtiGS_081_CupAvgBoundary.txt,"(954, 958)",Glaucoma,drishti,"(1759, 2048, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_081/drishtiGS_081_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_081/drishtiGS_081_CupAvgBoundary_OC_img.png
30,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_084.png,drishtiGS_084.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_084/drishtiGS_084_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_084/drishtiGS_084_CupAvgBoundary.txt,"(992, 1026)",Glaucoma,drishti,"(1750, 2048, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_084/drishtiGS_084_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_084/drishtiGS_084_CupAvgBoundary_OC_img.png
31,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Glaucoma/drishtiGS_088.png,drishtiGS_088.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_088/drishtiGS_088_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_088/drishtiGS_088_CupAvgBoundary.txt,"(1003, 1016)",Glaucoma,drishti,"(1760, 2047, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_088/drishtiGS_088_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Glaucoma/drishtiGS_088/drishtiGS_088_CupAvgBoundary_OC_img.png
32,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/images/Normal/drishtiGS_008.png,drishtiGS_008.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Normal/drishtiGS_008/drishtiGS_008_ODAvgBoundary.txt,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Normal/drishtiGS_008/drishtiGS_008_CupAvgBoundary.txt,"(1099, 960)",Normal,drishti,"(1755, 2049, 3)",/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Normal/drishtiGS_008/drishtiGS_008_ODAvgBoundary_OD_img.png,/content/gdrive/My Drive/Drive Tugas Akhir/Dataset/Drishti/gt/Normal/drishtiGS_008/drishtiGS_008_CupAvgBoundary_OC_img.png
